name,address,coordinates,rating,reviews,categories,avg_bill,cuisine,assortment,photo_url,route_duration
"Osteria Betulla, остерия","Греческий проспект, 29","{'lat': 59.938664, 'lon': 30.370265}",4.3,167.0,['Рестораны'],Средний чек 1250 ₽,"['Итальянская кухня', 'Авторская кухня']","['Пицца', 'Супы', 'Римская пицца']","['https://i2.photo.2gis.com/main/branch/38/70000001050842811/common', 'https://i8.photo.2gis.com/main/geo/38/5348660212708348/view']",3.0
"Токио-City, городские рестораны","Невский проспект, 71","{'lat': 59.93138, 'lon': 30.354791}",4.3,1153.0,"['Рестораны', 'Суши-бары', 'Доставка еды']",Средний чек 900 ₽,"['Итальянская кухня', 'Азиатская кухня']","['Суши', 'Шаурма', 'Пицца', 'Лапша wok', 'Пельмени', 'Рамен', 'Рис wok', 'Поке', 'Стейки', 'Том-Ям', 'Салаты', 'Закрытая пицца', 'Онигири', 'Супы', 'Пита', 'Блюда на гриле', 'Буррито', 'Куриные крылышки', 'Наггетсы', 'Кесадилья', 'Мидии']",['https://i7.photo.2gis.com/main/branch/38/70000001047071973/common'],18.7
"Квартира 8, ресторан-музей","Невский проспект, 71","{'lat': 59.93117, 'lon': 30.354733}",3.4,205.0,"['Рестораны', 'Бары', 'Кафе']",Средний чек 1500 ₽,['Авторская кухня'],"['Рамен', 'Стейки', 'Том-Ям', 'Салаты', 'Супы', 'Блюда на гриле', 'Куриные крылышки', 'Боулы']",['https://i7.photo.2gis.com/main/branch/38/70000001024383691/common'],18.6
"Giallo, ресторан","Восстания, 16","{'lat': 59.936867, 'lon': 30.360084}",4.7,87.0,"['Рестораны', 'Доставка еды']",Средний чек 1500 ₽,['Итальянская кухня'],"['Пицца', 'Салаты', 'Супы']","['https://i9.photo.2gis.com/main/branch/38/70000001059828851/common', 'https://i4.photo.2gis.com/main/geo/38/5348660212699011/view']",9.7
"Мидийное место, ресторан морепродуктов","Невский проспект, 65","{'lat': 59.931838, 'lon': 30.353165}",4.2,191.0,['Рестораны'],Средний чек 1100 ₽,['Средиземноморская кухня'],"['Рамен', 'Стейки', 'Том-Ям', 'Салаты', 'Супы', 'Блюда на гриле', 'Мидии', 'Устрицы']","['https://i3.photo.2gis.com/main/branch/38/70000001083532690/common', 'https://i9.photo.2gis.com/main/geo/38/5348660212721461/view']",19.1
"Zavod bar, интеллигентный гастрономический бар-ресторан","улица Некрасова, 40","{'lat': 59.938832, 'lon': 30.361375}",4.6,109.0,"['Рестораны', 'Бары']",Средний чек 2200 ₽,"['Русская кухня', 'Европейская кухня', 'Авторская кухня']","['Бургеры', 'Пельмени', 'Стейки', 'Салаты', 'Вареники', 'Супы', 'Блюда на гриле', 'Куриные крылышки', 'Колбаски']","['https://i7.photo.2gis.com/main/branch/38/70000001056051359/common', 'https://i3.photo.2gis.com/main/geo/38/5348660212705775/view']",6.9
"United butchers, мясной бар-ресторан","Восстания, 26","{'lat': 59.939124, 'lon': 30.360232}",4.6,351.0,"['Рестораны', 'Бары']",Средний чек 1600 ₽,"['Европейская кухня', 'Американская кухня']","['Бургеры', 'Стейки', 'Люля-кебаб', 'Салаты', 'Супы', 'Блюда на гриле', 'Куриные крылышки']","['https://i7.photo.2gis.com/main/branch/38/70000001023948215/common', 'https://i4.photo.2gis.com/main/geo/38/5348660212697741/view']",7.2
"Animals, сезонный ресторан с собственной фермой, хлебным и сырным производством","улица Некрасова, 60","{'lat': 59.938392, 'lon': 30.368118}",4.2,164.0,"['Рестораны', 'Бары']",Средний чек 2400 ₽,['Авторская кухня'],"['Фалафель', 'Салаты', 'Супы']","['https://i6.photo.2gis.com/main/branch/38/70000001037600412/common', 'https://i2.photo.2gis.com/main/geo/38/5348660212707929/view']",4.2
"Mia Strada, ресторан","Восстания, 19","{'lat': 59.935464, 'lon': 30.360456}",4.5,2.0,['Рестораны'],Средний чек 2500 ₽,['Итальянская кухня'],"['Пицца', 'Салаты', 'Супы', 'Пицца на дровах', 'Устрицы']","['https://i9.photo.2gis.com/main/branch/38/70000001096841051/common', 'https://i7.photo.2gis.com/main/geo/38/5348660212704385/view']",11.8
"Эхо, ресторан","Восстания, 33","{'lat': 59.938348, 'lon': 30.360646}",4.5,78.0,['Рестораны'],Средний чек 2300 ₽,['Авторская кухня'],"['Стейки', 'Салаты', 'Супы']","['https://i3.photo.2gis.com/main/branch/38/70000001087684036/common', 'https://i0.photo.2gis.com/main/geo/38/5348660212705437/view']",8.0
"Gustogram, современный гастрономический ресторан","Невский проспект, 61","{'lat': 59.931963, 'lon': 30.352171}",4.8,818.0,"['Рестораны', 'Банкетные залы', 'Доставка еды', 'Бары']",Средний чек 1300 ₽,"['Итальянская кухня', 'Европейская кухня', 'Авторская кухня']","['Бургеры', 'Лапша wok', 'Рамен', 'Стейки', 'Том-Ям', 'Салаты', 'Супы', 'Блюда на гриле', 'Устрицы']","['https://i3.photo.2gis.com/main/branch/38/70000001030958735/common', 'https://i1.photo.2gis.com/main/geo/38/5348660212721463/view']",19.8
"Police Station, джаз-клуб","Невский проспект, 90-92 лит Б","{'lat': 59.932677, 'lon': 30.353348}",4.1,108.0,"['Рестораны', 'Бары']",Средний чек 1200 ₽,"['Русская кухня', 'Европейская кухня', 'Американская кухня']","['Стейки', 'Салаты', 'Блюда на гриле']","['https://i8.photo.2gis.com/main/branch/38/70000001027400103/common', 'https://i9.photo.2gis.com/main/geo/38/70030076153474366/view']",18.2
"Italy, ресторан","Виленский переулок, 15","{'lat': 59.940058, 'lon': 30.363879}",4.6,354.0,"['Рестораны', 'Доставка еды']",Средний чек 2000 ₽,['Итальянская кухня'],"['Пицца', 'Стейки', 'Салаты', 'Супы', 'Блюда на гриле', 'Фиш энд чипс', 'Наггетсы']","['https://i8.photo.2gis.com/main/branch/38/70000001037993758/common', 'https://i4.photo.2gis.com/main/geo/38/5348660212705646/view']",4.1
"Токио-City, городские рестораны","Невский проспект, 90-92 лит А","{'lat': 59.932334, 'lon': 30.352081}",4.5,1087.0,"['Рестораны', 'Суши-бары', 'Доставка еды']",Средний чек 900 ₽,['Японская кухня'],"['Суши', 'Пицца', 'Лапша wok', 'Рис wok', 'Том-Ям', 'Салаты', 'Супы', 'Блюда на гриле']","['https://i3.photo.2gis.com/main/branch/38/70000001021261064/common', 'https://i9.photo.2gis.com/main/geo/38/70030076153476591/view']",19.4
"Self Edge Japanese, современный японский ресторан","Радищева, 34","{'lat': 59.941324, 'lon': 30.363387}",4.9,75.0,['Рестораны'],Средний чек 5000 ₽,['Японская кухня'],"['Суши', 'Салаты', 'Супы', 'Блюда на гриле', 'Гёдза', 'Устрицы']","['https://i8.photo.2gis.com/main/branch/38/70000001052525170/common', 'https://i1.photo.2gis.com/main/geo/38/5348660212706246/view']",5.3
"Блок, мясной ресторан","Потёмкинская улица, 4","{'lat': 59.945841, 'lon': 30.36817}",4.4,96.0,['Рестораны'],Средний чек 4500 ₽,"['Русская кухня', 'Европейская кухня']","['Бургеры', 'Пельмени', 'Стейки', 'Том-Ям', 'Салаты', 'Супы', 'Блюда на гриле']",['https://i7.photo.2gis.com/main/branch/38/70000001020080231/common'],9.9
"Чайхона, ресторан","Невский проспект, 90-92 лит Б","{'lat': 59.932245, 'lon': 30.352772}",4.4,932.0,"['Рестораны', 'Бары', 'Доставка еды']",Средний чек 1500 ₽,['Восточная кухня'],"['Шашлык', 'Хинкали', 'Манты', 'Стейки', 'Том-Ям', 'Люля-кебаб', 'Лагман', 'Супы', 'Блюда на гриле', 'Плов']","['https://i3.photo.2gis.com/main/branch/38/70000001069470921/common', 'https://i9.photo.2gis.com/main/geo/38/70030076153474366/view']",19.1
"Москва, ресторан","Невский проспект, 114-116","{'lat': 59.931595, 'lon': 30.359439}",3.5,276.0,['Рестораны'],Средний чек 2500 ₽,"['Японская кухня', 'Паназиатская кухня', 'Европейская кухня']","['Суши', 'Шаурма', 'Пицца', 'Шашлык', 'Бургеры', 'Хинкали', 'Лапша wok', 'Пельмени', 'Рамен', 'Рис wok', 'Поке', 'Стейки', 'Том-Ям', 'Люля-кебаб', 'Салаты', 'Хачапури', 'Вареники', 'Супы', 'Блюда на гриле', 'Куриные крылышки', 'Наггетсы', 'Боулы', 'Колбаски', 'Гёдза', 'Мидии', 'Корюшка', 'Устрицы']",['https://i0.photo.2gis.com/main/branch/38/70000001024488120/common'],15.3
"Сыроварня, ресторан","Лиговский проспект, 30","{'lat': 59.928439, 'lon': 30.360412}",4.8,1060.0,"['Рестораны', 'Доставка еды']",Средний чек 2500 ₽,"['Итальянская кухня', 'Домашняя кухня']","['Пицца', 'Шашлык', 'Стейки', 'Люля-кебаб', 'Салаты', 'Вареники', 'Супы', 'Пицца на дровах', 'Блюда на гриле', 'Корюшка']",['https://i9.photo.2gis.com/main/branch/38/70000001066672131/common'],18.4
"Мясная лавка, гриль-бар","улица Белинского, 6","{'lat': 59.938357, 'lon': 30.347021}",4.1,215.0,"['Рестораны', 'Доставка еды']",Средний чек 2000 ₽,['Американская кухня'],"['Бургеры', 'Стейки', 'Блюда на гриле']","['https://i1.photo.2gis.com/main/branch/38/70000001030689015/common', 'https://i7.photo.2gis.com/main/geo/38/5348660212694437/view']",16.7
"meal, ресторан","Литейный проспект, 17/19","{'lat': 59.943771, 'lon': 30.347691}",4.6,143.0,['Рестораны'],Средний чек 2200 ₽,['Авторская кухня'],"['Салаты', 'Супы']","['https://i5.photo.2gis.com/main/branch/38/70000001035611895/common', 'https://i7.photo.2gis.com/main/geo/38/5348660212700301/view']",18.5
"Le courage, ресторан","Басков переулок, 2 ст1","{'lat': 59.93973, 'lon': 30.352672}",4.1,115.0,['Рестораны'],Средний чек 1500 ₽,"['Русская кухня', 'Французская кухня']","['Пельмени', 'Стейки', 'Салаты', 'Вареники', 'Супы']","['https://i4.photo.2gis.com/main/branch/38/70000001036324049/common', 'https://i5.photo.2gis.com/main/geo/38/5348660241861477/view']",11.5
"Брюссель. Original Belgian, паб","Восстания, 20","{'lat': 59.937747, 'lon': 30.36014}",4.7,175.0,"['Рестораны', 'Бары', 'Доставка еды']",Средний чек 2500 ₽,['Европейская кухня'],"['Стейки', 'Салаты', 'Супы', 'Блюда на гриле', 'Куриные крылышки', 'Фиш энд чипс', 'Колбаски', 'Мидии', 'Устрицы']","['https://i9.photo.2gis.com/main/branch/38/70000001006328517/common', 'https://i7.photo.2gis.com/main/geo/38/5348660212698389/view']",8.9
"Regions, ресторан","Жуковского, 10","{'lat': 59.936061, 'lon': 30.352588}",4.9,119.0,"['Рестораны', 'Бары']",Средний чек 1900 ₽,"['Русская кухня', 'Европейская кухня', 'Авторская кухня']","['Манты', 'Стейки', 'Салаты', 'Супы']","['https://i5.photo.2gis.com/main/branch/38/70000001075540722/common', 'https://i8.photo.2gis.com/main/geo/38/5348660212700335/view']",15.7
"Mr.Bo, ресторан","Манежный переулок, 2","{'lat': 59.943323, 'lon': 30.350679}",4.4,107.0,['Рестораны'],Средний чек 3000 ₽,"['Азиатская кухня', 'Паназиатская кухня', 'Авторская кухня']","['Суши', 'Рамен', 'Фо-бо', 'Салаты', 'Супы', 'Устрицы']","['https://i8.photo.2gis.com/main/branch/38/70000001031751992/common', 'https://i0.photo.2gis.com/main/geo/38/5348660212692838/view']",15.4
"Italiani, ресторан","Невский проспект, 65","{'lat': 59.931805, 'lon': 30.353427}",4.3,607.0,"['Рестораны', 'Кафе']",Средний чек 1000 ₽,['Итальянская кухня'],"['Пицца', 'Салаты', 'Супы', 'Римская пицца']","['https://i8.photo.2gis.com/main/branch/38/70000001033043004/common', 'https://i9.photo.2gis.com/main/geo/38/5348660212721461/view']",19.0
"Корчма сало, ресторан","Литейный проспект, 36","{'lat': 59.93915, 'lon': 30.348586}",4.3,465.0,"['Рестораны', 'Доставка еды', 'Кафе']",Средний чек 1500 ₽,['Украинская кухня'],"['Шашлык', 'Пельмени', 'Салаты', 'Вареники', 'Супы', 'Блюда на гриле', 'Куриные крылышки', 'Колбаски']","['https://i2.photo.2gis.com/main/branch/38/5348552838504322/common', 'https://i0.photo.2gis.com/main/geo/38/5348660212701370/view']",14.7
"Чешская пивница, пивной ресторан","улица Белинского, 13","{'lat': 59.938145, 'lon': 30.347391}",3.6,90.0,"['Рестораны', 'Бары']",Средний чек 3000 ₽,['Европейская кухня'],"['Пицца', 'Шашлык', 'Бургеры', 'Стейки', 'Люля-кебаб', 'Салаты', 'Супы', 'Блюда на гриле', 'Куриные крылышки', 'Начос', 'Колбаски', 'Мидии']","['https://i5.photo.2gis.com/main/branch/38/70000001027707902/common', 'https://i8.photo.2gis.com/main/geo/38/5348660212693242/view']",16.7
"Хачо и Пури, грузинский ресторан","Лиговский проспект, 29","{'lat': 59.933484, 'lon': 30.362088}",4.7,1197.0,"['Рестораны', 'Доставка еды']",Средний чек 1900 ₽,['Грузинская кухня'],"['Шашлык', 'Хинкали', 'Люля-кебаб', 'Салаты', 'Хачапури', 'Супы', 'Блюда на гриле']","['https://i7.photo.2gis.com/main/branch/38/70000001031692708/common', 'https://i6.photo.2gis.com/main/geo/38/5348660212704078/view']",11.7
"Палкинъ, ресторан русской кухни","Невский проспект, 47","{'lat': 59.932567, 'lon': 30.347305}",4.7,59.0,"['Рестораны', 'Кейтеринг']",Средний чек 4500 ₽,"['Русская кухня', 'Французская кухня', 'Авторская кухня']","['Пельмени', 'Стейки', 'Салаты', 'Супы', 'Блюда на гриле', 'Корюшка', 'Устрицы']","['https://i7.photo.2gis.com/main/branch/38/5348552839303460/common', 'https://i7.photo.2gis.com/main/geo/38/5348660212672196/view']",22.8
"Birch, ресторан","Кирочная улица, 3","{'lat': 59.943901, 'lon': 30.350934}",4.1,266.0,['Рестораны'],Средний чек 1500 ₽,"['Европейская кухня', 'Авторская кухня']","['Стейки', 'Супы']","['https://i5.photo.2gis.com/main/branch/38/70000001030414112/common', 'https://i7.photo.2gis.com/main/geo/38/5348660212692844/view']",16.5
"Meze, ресторан","Невский проспект, 140","{'lat': 59.929639, 'lon': 30.368877}",4.2,47.0,['Рестораны'],Средний чек 2200 ₽,"['Восточная кухня', 'Турецкая кухня', 'Средиземноморская кухня']","['Пицца', 'Бургеры', 'Стейки', 'Люля-кебаб', 'Салаты', 'Супы', 'Блюда на гриле', 'Куриные крылышки', 'Наггетсы']","['https://i2.photo.2gis.com/main/branch/38/70000001089561116/common', 'https://i5.photo.2gis.com/main/geo/38/5348660212705500/view']",17.2
"Mama roma, ресторан итальянской кухни","Невский проспект, 142","{'lat': 59.929516, 'lon': 30.369556}",4.6,1358.0,"['Рестораны', 'Доставка еды']",Средний чек 1000 ₽,['Итальянская кухня'],"['Пицца', 'Стейки', 'Салаты', 'Закрытая пицца', 'Супы', 'Блюда на гриле']","['https://i9.photo.2gis.com/main/branch/38/5348552840600745/common', 'https://i7.photo.2gis.com/main/geo/38/5348660212705782/view']",17.7
"Гастрономика по-новому, панорамный ресторан","улица Марата, 5-7","{'lat': 59.930322, 'lon': 30.35441}",4.4,199.0,"['Рестораны', 'Бары']",Средний чек 2000 ₽,"['Итальянская кухня', 'Японская кухня', 'Европейская кухня']","['Суши', 'Пицца', 'Том-Ям', 'Салаты', 'Супы', 'Блюда на гриле', 'Боулы']",['https://i2.photo.2gis.com/main/branch/38/70000001075790878/common'],19.5
"Pro.Хинкали, ресторан грузинской кухни","Лиговский проспект, 30","{'lat': 59.927913, 'lon': 30.361247}",4.9,464.0,"['Рестораны', 'Доставка еды']",Средний чек 1250 ₽,['Грузинская кухня'],"['Хинкали', 'Салаты', 'Хачапури', 'Супы']",['https://i5.photo.2gis.com/main/branch/38/70000001093460002/common'],29.8
"Мама на даче, семейный ресторан домашней кухни","Невский проспект, 106","{'lat': 59.931732, 'lon': 30.356891}",4.4,1032.0,"['Рестораны', 'Бары', 'Доставка еды']",Средний чек 1300 ₽,"['Русская кухня', 'Европейская кухня', 'Домашняя кухня']","['Хинкали', 'Пельмени', 'Стейки', 'Салаты', 'Хачапури', 'Вареники', 'Супы', 'Блюда на гриле', 'Куриные крылышки']","['https://i4.photo.2gis.com/main/branch/38/70000001044719060/common', 'https://i1.photo.2gis.com/main/geo/38/5348660212703195/view']",16.6
"Chicko-вкус Кореи, кафе корейского стритфуда","Невский проспект, 142","{'lat': 59.929806, 'lon': 30.36941}",4.4,56.0,['Кафе'],Средний чек 1000 ₽,['Корейская кухня'],,"['https://i6.photo.2gis.com/main/branch/38/70000001096237998/common', 'https://i7.photo.2gis.com/main/geo/38/5348660212705782/view']",17.1
"Aster, городское кафе","Маяковского, 23","{'lat': 59.939668, 'lon': 30.355489}",4.1,316.0,"['Кафе', 'Пекарни']",Средний чек 700 ₽,['Европейская кухня'],"['Салаты', 'Супы']","['https://i0.photo.2gis.com/main/branch/38/70000001054727024/common', 'https://i9.photo.2gis.com/main/geo/38/5348660212697164/view']",9.6
"Italia, семейное кафе","проспект Бакунина, 5","{'lat': 59.929845, 'lon': 30.374958}",4.2,818.0,"['Кафе', 'Доставка еды']",Средний чек 1200 ₽,['Итальянская кухня'],"['Пицца', 'Салаты', 'Супы', 'Блюда на гриле']",['https://i4.photo.2gis.com/main/branch/38/5348552838596842/common'],18.2
"Пища династии Минь, китайская закусочная и бар","Короленко, 14","{'lat': 59.942488, 'lon': 30.350266}",4.2,78.0,"['Кафе', 'Бары', 'Рестораны']",Средний чек 1700 ₽,['Китайская кухня'],"['Лапша wok', 'Рис wok', 'Салаты', 'Супы']","['https://i9.photo.2gis.com/main/branch/38/70000001089635797/common', 'https://i9.photo.2gis.com/main/geo/38/5348660212702062/view']",15.0
"Chang x Kuta, кафе аутентичной тайской кухни","улица Некрасова, 1/38","{'lat': 59.938897, 'lon': 30.349258}",4.6,450.0,"['Кафе', 'Доставка еды']",Средний чек 1200 ₽,['Тайская кухня'],"['Суши', 'Лапша wok', 'Рамен', 'Рис wok', 'Поке', 'Том-Ям', 'Салаты', 'Супы', 'Гёдза']","['https://i4.photo.2gis.com/main/branch/38/70000001065161765/common', 'https://i9.photo.2gis.com/main/geo/38/5348660212700439/view']",14.5
"Ivory Garden, кафе","8-я Советская улица, 9-13","{'lat': 59.937043, 'lon': 30.372422}",3.9,203.0,"['Кафе', 'Доставка еды']",Средний чек 1000 ₽,['Авторская кухня'],"['Салаты', 'Вареники', 'Блюда на гриле']","['https://i0.photo.2gis.com/main/branch/38/70000001065112882/common', 'https://i1.photo.2gis.com/main/geo/38/5348660212708242/view']",5.9
"Jisco, кей-поп кафе","Лиговский проспект, 30","{'lat': 59.928314, 'lon': 30.359906}",4.2,303.0,['Кафе'],Средний чек 1300 ₽,['Корейская кухня'],"['Рамен', 'Салаты', 'Супы']",['https://i0.photo.2gis.com/main/branch/38/70000001086897878/common'],18.7
"Chang, кафе аутентичной тайской кухни","Невский проспект, 97","{'lat': 59.930083, 'lon': 30.366845}",4.5,533.0,"['Кафе', 'Доставка еды']",Средний чек 1500 ₽,['Тайская кухня'],"['Суши', 'Лапша wok', 'Рамен', 'Рис wok', 'Поке', 'Том-Ям', 'Салаты', 'Супы', 'Наггетсы', 'Гёдза', 'Такояки']","['https://i9.photo.2gis.com/main/branch/38/70000001057752859/common', 'https://i3.photo.2gis.com/main/geo/38/5348660212711983/view']",16.1
"Tsunami, азиатский бар","Лиговский проспект, 39/1","{'lat': 59.932138, 'lon': 30.361246}",4.3,211.0,"['Кафе', 'Бары', 'Доставка еды', 'Суши-бары']",Средний чек 2000 ₽,['Азиатская кухня'],"['Суши', 'Рамен', 'Поке', 'Том-Ям', 'Супы', 'Гёдза']","['https://i6.photo.2gis.com/main/branch/38/70000001035822395/common', 'https://i6.photo.2gis.com/main/geo/38/5348660212703705/view']",13.4
"Квартира 8, ресторан-музей","Невский проспект, 71","{'lat': 59.93117, 'lon': 30.354733}",3.4,205.0,"['Кафе', 'Рестораны', 'Бары']",Средний чек 1500 ₽,['Авторская кухня'],"['Рамен', 'Стейки', 'Том-Ям', 'Салаты', 'Супы', 'Блюда на гриле', 'Куриные крылышки', 'Боулы']",['https://i7.photo.2gis.com/main/branch/38/70000001024383691/common'],18.6
"Мама Тата, грузинская неорюмочная","Восстания, 55","{'lat': 59.943178, 'lon': 30.360953}",4.8,144.0,"['Кафе', 'Рюмочные', 'Бары']",Средний чек 850 ₽,"['Грузинская кухня', 'Кавказская кухня', 'Европейская кухня']","['Шаурма', 'Шашлык', 'Хинкали', 'Люля-кебаб', 'Салаты', 'Хачапури', 'Супы', 'Блюда на гриле', 'Куриные крылышки']","['https://i2.photo.2gis.com/main/branch/38/70000001093839054/common', 'https://i1.photo.2gis.com/main/geo/38/5348660212706488/view']",9.1
"Малатан, китайский и паназиатский ресторан","Невский проспект, 128","{'lat': 59.931345, 'lon': 30.366953}",4.9,2915.0,"['Кафе', 'Доставка еды']",Средний чек 550 ₽,['Азиатская кухня'],"['Лапша wok', 'Рис wok', 'Салаты', 'Блюда на гриле', 'Боулы']","['https://i6.photo.2gis.com/main/branch/38/70000001060749771/common', 'https://i4.photo.2gis.com/main/geo/38/5348660212705798/view']",14.2
"Beverly Hills, бар","Невский проспект, 96","{'lat': 59.931989, 'lon': 30.354838}",4.9,212.0,"['Кафе', 'Бары']",Средний чек 1500 ₽,"['Европейская кухня', 'Веганская кухня', 'Американская кухня']","['Бургеры', 'Стейки', 'Салаты', 'Супы', 'Блюда на гриле']","['https://i5.photo.2gis.com/main/branch/38/70000001093084158/common', 'https://i1.photo.2gis.com/main/geo/38/5348660212703069/view']",17.9
"Неканон, бар","Лиговский проспект, 21Б","{'lat': 59.93524, 'lon': 30.363433}",4.7,390.0,"['Кафе', 'Бары', 'Быстрое питание']",Средний чек 1000 ₽,['Американская кухня'],"['Бургеры', 'Куриные крылышки', 'Наггетсы', 'Колбаски']","['https://i1.photo.2gis.com/main/branch/38/70000001034991312/common', 'https://i0.photo.2gis.com/main/geo/38/5348660212704331/view']",9.3
"Holy Ribs, ресторан","Жуковского, 12","{'lat': 59.93605, 'lon': 30.353386}",4.7,233.0,"['Кафе', 'Доставка еды', 'Бары']",Средний чек 1500 ₽,['Американская кухня'],"['Бургеры', 'Стейки', 'Салаты', 'Супы', 'Блюда на гриле', 'Куриные крылышки', 'Начос', 'Кесадилья']","['https://i1.photo.2gis.com/main/branch/38/70000001028875578/common', 'https://i5.photo.2gis.com/main/geo/38/5348660212699278/view']",15.4
"Синий Пушкин, рестобар, созданный Сергеем Шнуровым","Жуковского, 3","{'lat': 59.935867, 'lon': 30.350238}",4.2,221.0,"['Кафе', 'Бары']",Средний чек 1200 ₽,['Европейская кухня'],"['Стейки', 'Салаты', 'Супы', 'Блюда на гриле', 'Куриные крылышки']",['https://i5.photo.2gis.com/main/branch/38/5348552839200910/common'],18.1
"Ossu, лапшичная","улица Некрасова, 21","{'lat': 59.938676, 'lon': 30.358366}",4.7,249.0,"['Кафе', 'Доставка еды']",Средний чек 1300 ₽,['Паназиатская кухня'],"['Суши', 'Лапша wok', 'Салаты', 'Супы']","['https://i3.photo.2gis.com/main/branch/38/70000001046974460/common', 'https://i5.photo.2gis.com/main/geo/38/5348660212698440/view']",8.9
"Мечтатели, гастрономическое кафе","набережная реки Фонтанки, 11","{'lat': 59.936837, 'lon': 30.342848}",4.2,213.0,"['Кафе', 'Доставка еды']",Средний чек 1200 ₽,['Авторская кухня'],"['Стейки', 'Салаты', 'Супы']","['https://i0.photo.2gis.com/main/branch/38/70000001019632134/common', 'https://i7.photo.2gis.com/main/geo/38/5348660212689075/view']",21.1
